image,question,answer
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=566x555 at 0x182F2CDBC50>,are regions of the brain infarcted?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=480x503 at 0x182F2CDBED0>,are the lungs normal appearing?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1291 at 0x182F49B0050>,which organ system is abnormal in this image?,cardiovascular
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x978 at 0x182F49B0190>,is the lesion causing significant brainstem herniation?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x693 at 0x182F49B02D0>,how was this image taken?,mri
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x655 at 0x182F49B0410>,what is the condition of the patient,blind loop syndrome
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x655 at 0x182F49B0550>,what abnormality is seen?,blind-ending loop of bowel arising from the cecum
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=356x471 at 0x182F49B0690>,what is the location of the mass?,pineal region
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=356x471 at 0x182F49B07D0>,where is the mass?,pineal region
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x693 at 0x182F49B0910>,is this image in the transverse plane?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=590x480 at 0x182F49B0A50>,are there any pulmonary findings?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=590x480 at 0x182F49B0B90>,are the lungs affected?,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=532x768 at 0x182F49B0CD0>,in which lobe are the lesions?,bilateral frontal lobes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=532x768 at 0x182F49B0E10>,where are the lesions?,bilateral frontal lobes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=766x978 at 0x182F49B0F50>,is there herniation of the brainstem secondary to the lesion,no
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=555x608 at 0x182F49B1090>,what type of image is this?,mri-dwi
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=532x768 at 0x182F49B11D0>,is the gyral enhancement?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=516x730 at 0x182F49B1310>,what is the location of the abnormality?,right colon
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=516x730 at 0x182F49B1450>,where is the abnormal finding?,right colon
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x182F49B1590>,what plane is seen?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x473 at 0x182F49B16D0>,how would you describe the mass?,isointense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=400x473 at 0x182F49B1810>,what are the characteristics of the mass?,isointense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=465x540 at 0x182F49B1950>,which plane is this image taken in?,pa
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=356x471 at 0x182F49B1A90>,is the mass hyperintense or hypointense?,hyperintense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=356x471 at 0x182F49B1BD0>,what is the radiological description of the mass?,hyperintense
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1286 at 0x182F49B1D10>,is it difficult to delineate the left costophrenic angle?,yes
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1310 at 0x182F49B1E50>,what allows for the bright areas seen in this image?,iv contrast
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1024x1245 at 0x182F49B1F90>,is this an mri?,no
