ROCO_ID,PMC_ID,Keywords,Caption
ROCO_00002,PMC4083729_AMHSR-4-14-g002.jpg,"scan,maxillary,sinu,axial,tomography,obliteration,view,left", Computed tomography scan in axial view showing obliteration of the left maxillary sinus
ROCO_00003,PMC2837471_IJD2009-150251.001.jpg,"canal,completion,temporary,month,filling,treatment,contamination,bacterial,tooth,root"," Bacterial contamination occurred after completion of root canal treatment in the tooth, which remained with a temporary filling for 15 month."
ROCO_00004,PMC2505281_11999_2007_30_Fig6_HTML.jpg,"poliomyeliti,index,healing,necessary,complete,reference,residual,roentgenogram,hand,metacarpal,second,paralysi,finger,year,thumb,patient,graft,bank,bone,first", The patient had residual paralysis of the hand after poliomyelitis. It was necessary to stabilize the thumb with reference to the index finger. This was accomplished by placing a graft from the bone bank between the first and second metacarpals. The roentgenogram shows the complete healing of the graft one year later.
ROCO_00005,PMC3745845_IJD2013-683423.005.jpg,"panoramic,loading,immediate,radiograph", Panoramic radiograph after immediate loading.
ROCO_00007,PMC4917066_amjcaserep-17-301-g001.jpg,"multiple,radiopaque,level,diaphragm,plain,air,abdoman,shadow,midabdoman"," Plain abdomen x-ray: Multiple air levels at the mid-abdomen (arrows), no radiopaque shadow, and no air under the diaphragm."
ROCO_00008,PMC4805615_13244_2016_481_Fig12_HTML.jpg,"glioma,show,image,child,suprasellar,involvement,mesencephalon,additional,temporal,axial,moderate,hyperintensity,mas,lesion,optic,lobe,effect,difficulty,visual,tract,tumoral,compatible,flair,left"," A 3-year-old child with visual difficulties. Axial FLAIR image show a supra-sellar lesion extending to the temporal lobes along the optic tracts (arrows) with moderate mass effect, compatible with optic glioma. FLAIR hyperintensity is also noted in the left mesencephalon from additional tumoral involvement"
ROCO_00009,PMC2584650_1757-1626-1-193-1.jpg,"porotic,subtrochanteric,fracture,bone", Showing the subtrochanteric fracture in the porotic bone.
ROCO_00010,PMC3283944_JISP-15-414-g006.jpg,"canal,root,maxillary,orthodontic,treatment,therapy,post,incisor", Post orthodontic treatment. Root canal therapy done with maxillary incisors
ROCO_00011,PMC4946383_HI-10-1-25-g003.jpg,"thrombi,distal,om2,sequential,marginal,obtuse,segment", Two sequential thrombi in the distal segment of the obtuse marginal 2 (OM2).
ROCO_00012,PMC5646151_TOORTHJ-11-882_F2.jpg,"effusion,advantage,acute,image,material,joint,dpi,scenario57x46mm,example,contrast,mri", An example of MRI image that takes advantage of joint effusion as contrast material in acute scenario. 57x46mm (150 x 150 DPI).
